,score,param,fun_name
0,0.6090033652601607,0.2,com
1,0.6639153507636556,0.3,com
2,0.6261076236085947,0.4,com
3,0.5555400595392185,0.5,com
4,0.5966541548019673,0.6,com
5,0.6140421951850892,0.7,com
6,0.5935351410820607,0.8,com
7,0.6292399042195186,0.9,com
8,0.6359400077659849,1.0,com
9,0.5809112089049961,1.1,com
10,0.5487839761843126,1.2,com
11,0.5784092674087498,1.3,com
12,0.5693347139528862,1.4,com
13,0.5554138622831998,1.5,com
14,0.569944990939684,1.6,com
15,0.5461956381050999,1.7,com
16,0.5044651177841056,1.8,com
17,0.5252931659332123,1.9,com
18,0.5439072611959618,2.0,com
19,0.6844812969194924,0.2,span
20,0.5939444732073518,0.3,span
21,0.5741865130727415,0.4,span
22,0.5575226507895418,0.5,span
23,0.5394230520320993,0.6,span
24,0.5613195702821641,0.7,span
25,0.5762781516955733,0.8,span
26,0.5359390370178619,0.9,span
27,0.5398857753041676,1.0,span
28,0.5599867331089827,1.1,span
29,0.5143072094227285,1.2,span
30,0.5414716541548019,1.3,span
31,0.5543146518250065,1.4,span
32,0.5549074553455862,1.5,span
33,0.556248382086461,1.6,span
34,0.5724744369660886,1.7,span
35,0.5593007377685737,1.8,span
36,0.5156096298213823,1.9,span
37,0.5709639528863577,2.0,span
38,0.7273815687289671,0.2,halflife
39,0.656976119596169,0.3,halflife
40,0.6171692984726895,0.4,halflife
41,0.6620220683406677,0.5,halflife
42,0.6089781258089567,0.6,halflife
43,0.5922861118301838,0.7,halflife
44,0.6000941625679522,0.8,halflife
45,0.5844832384157392,0.9,halflife
46,0.6141981620502198,1.0,halflife
47,0.5830992751747348,0.2,alpha
48,0.5534574812322027,0.3,alpha
49,0.5342952368625421,0.4,alpha
50,0.5440900854258347,0.5,alpha
51,0.574000453015791,0.6,alpha
52,0.6357070282164122,0.7,alpha
53,0.5696217318146518,0.8,alpha
54,0.6448343256536372,0.9,alpha
55,0.6109801320217446,1.0,alpha
